id,title,platform,assignee,status,type,pillar,publishDate,publishTime,deadline,caption,assetLinks,comments,reviewer,approvedBy,approvedAt,reminderSet
1,GLP-1 Weight Loss Journey Tips,tiktok,1,approved,Educational,weightloss,2025-02-15,10:00,2025-02-13,"Here are 5 tips to maximize your GLP-1 results ðŸ’ª #glp1 #weightloss","[{""type"":""canva"",""url"":""https://canva.com/design/abc123"",""label"":""Video Edit""}]","[{""id"":1,""author"":3,""text"":""Love the hook! Maybe add a CTA at the end?"",""timestamp"":""2025-01-28T10:30:00""},{""id"":2,""author"":1,""text"":""Good call, added link in bio"",""timestamp"":""2025-01-28T14:15:00""}]",3,3,2025-01-30T09:00:00,true
2,Patient Transformation: Sarah M.,instagram,2,review,Testimonial,testimonials,2025-02-18,12:00,2025-02-16,"Sarah lost 45 lbs in 6 months with our GLP-1 program! ðŸŽ‰ Swipe to see her journey â†’","[{""type"":""drive"",""url"":""https://drive.google.com/file/xyz"",""label"":""Before/After Photos""},{""type"":""canva"",""url"":""https://canva.com/design/def456"",""label"":""Carousel Design""}]","[{""id"":1,""author"":1,""text"":""Did we get written consent for this?"",""timestamp"":""2025-02-01T11:00:00""}]",1,,,true
3,Dr. Smith TRT Q&A Session,youtube,3,draft,Q&A,trt,2025-02-20,14:00,2025-02-18,Dr. Smith answers your most asked questions about Testosterone Replacement Therapy. Timestamps in description!,[],[],,,,,false
4,GLP-1 Myth Busters,tiktok,4,published,Educational,weightloss,2025-02-10,09:00,2025-02-08,"Debunking the top 3 GLP-1 myths ðŸš« #glp1 #mythbusters #weightloss","[{""type"":""canva"",""url"":""https://canva.com/design/ghi789"",""label"":""Final Video""}]","[{""id"":1,""author"":1,""text"":""Great engagement on this one! 45k views"",""timestamp"":""2025-02-11T16:00:00""}]",1,1,2025-02-09T10:00:00,false
5,Office Tour Behind-the-Scenes,instagram,1,draft,Behind-the-scenes,lifestyle,2025-02-22,11:00,2025-02-20,Take a peek inside our clinic! ðŸ‘€ Meet the team helping you reach your health goals,[],[],,,,,false
6,HRT Benefits for Women Over 40,tiktok,2,scheduled,Educational,hrt,2025-02-25,15:00,2025-02-23,"3 surprising benefits of HRT that every woman should know ðŸ’« #hrt #menopause #womenshealth","[{""type"":""canva"",""url"":""https://canva.com/design/jkl012"",""label"":""Video Edit""}]","[{""id"":1,""author"":3,""text"":""Love this! Very informative"",""timestamp"":""2025-02-22T09:00:00""}]",3,3,2025-02-23T11:00:00,true
7,New Service Announcement: Peptide Therapy,instagram,5,draft,Announcement,lifestyle,2025-02-28,10:00,2025-02-26,Exciting news! ðŸ“£ We're now offering peptide therapy. DM us to learn more!,[],[],,,,,false
8,Monday Motivation - Patient John's Story,instagram,4,approved,Testimonial,testimonials,2025-03-03,08:00,2025-03-01,"From low energy to crushing his fitness goals ðŸ’ª John's TRT transformation story #mondaymotivation","[{""type"":""drive"",""url"":""https://drive.google.com/file/abc"",""label"":""Patient Photos""}]",[],2,2,2025-03-02T10:00:00,true
9,Trending: Social Media Wellness Challenge,tiktok,3,review,Trending,lifestyle,2025-03-05,16:00,2025-03-03,Joining the #WellnessChallenge trend! Follow along with our 7-day journey ðŸŒ¿,[],[],1,,,false
10,Product Feature: Telehealth Consultations,youtube,1,draft,Product,lifestyle,2025-03-08,12:00,2025-03-06,How our telehealth consultations work - get expert care from anywhere in the US ðŸ“±,[],[],,,,,false

